BGGId,Name,AvgRating,NumUserRatings
156943,Saint Petersburg (Second Edition),7.49008,3001
157001,Trains: Rising Sun,7.45612,1773
157026,Ascension: Realms Unraveled,7.52683,1055
157354,Five Tribes,7.77761,34247
157403,Black Fleet,7.0155,5101
157413,New Bedford,7.09666,1809
157820,Escape: The Curse of the Temple – Big Box,7.57857,1518
157917,The Lord of the Ice Garden,7.65384,1161
157958,DungeonQuest Revised Edition,7.09132,1396
157969,Sheriff of Nottingham,7.12267,31234
158275,Marvel Dice Masters: Uncanny X-Men,7.19258,3730
158435,Dogs of War,7.52314,2717
158600,Hanamikoji,7.53375,12753
158889,Summoner Wars: Alliances Master Set,8.09808,1695
158899,Colt Express,7.11243,26589
159473,Quartermaster General,7.34744,2518
159503,The Captain Is Dead,7.12879,2641
159504,Folklore: The Affliction,7.78349,1700
159508,AquaSphere,7.27316,6746
159675,Fields of Arle,8.08523,8945
160010,Conan,7.68846,4127
160018,Smash Up: Monster Smash,7.29895,3004
160069,Ticket to Ride: 10th Anniversary,8.26971,5174
160081,Dungeon Saga: Dwarf King's Quest,7.23863,1050
160477,Onitama,7.38865,16944
160495,ZhanGuo,7.57869,2976
160610,Thunderbirds,7.55619,1780
160902,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.2487,1466
161533,Lisboa,8.20247,7768
